Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Reserves,Balance sheet total,Net block,Gross block,Current assets,Current liabilities,Contingent liabilities,Total Assets,Working capital,Face value,Cash Equivalents,Trade Payables,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,191.45,163.37,437.42,741.76,282.61,366.29,395.66,222.02,17.73,741.76,173.64,5.00,58.35,60.78,121.37,142.46,212.23,366.29,68.21,34.21,-8.17,122.96,119.17,164.62,207.13,200.67,184.90,675.58
21st Cent. Mgmt.,526921,21STCENMGM,INE253B01015,Capital Markets,Other Capital Market related Services,39.01,0.00,36.97,53.57,0.63,0.84,46.31,5.88,0.00,53.57,40.43,10.00,0.48,0.00,0.00,41.45,0.72,2.25,4.24,16.55,-0.08,1.00,8.00,19.89,0.77,0.94,1.06,40.97
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1135.25,13764.67,9308.28,24264.74,3652.18,1516.46,2709.21,921.31,946.25,24264.74,1787.90,1.00,1279.43,144.62,9471.93,-329.48,939.73,1129.13,82.79,1103.02,,5807.58,8838.10,,815.99,608.16,30.59,46038.00
3B Blackbio,532067,,INE994E01018,Healthcare Services,Healthcare Service Provider,1650.05,0.27,289.65,340.83,17.25,15.01,163.39,26.14,0.20,340.83,137.25,10.00,72.13,5.16,0.85,105.87,7.40,14.11,64.64,31.17,9.43,2.53,3.52,7.50,6.61,3.87,3.75,1416.17
3B Films,544412,,INE0TE101010,Industrial Products,Packaging,22.00,99.92,25.62,171.15,80.92,104.28,83.98,41.96,10.06,171.15,42.02,10.00,0.12,18.61,106.55,19.67,81.26,98.64,10.20,7.92,,99.34,48.04,,83.84,46.13,,54.50
3C IT Solutions,544190,,INE0R7D01018,IT - Services,IT Enabled Services,25.10,0.45,9.84,23.49,1.01,3.29,22.45,10.20,0.00,23.49,12.25,5.00,1.70,9.53,5.20,5.11,1.29,2.95,12.28,,,10.40,,,0.24,,,15.11
3i Infotech,532628,3IINFOLTD,INE748C01038,IT - Software,Computers - Software & Consulting,15.97,34.79,156.89,570.48,223.92,998.45,273.92,206.45,229.74,570.48,67.47,10.00,45.54,103.16,84.48,28.11,244.90,1038.49,267.01,210.19,-742.08,118.64,902.49,2509.55,416.53,850.75,803.03,331.25
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,37289.95,103.32,1599.17,2658.09,411.33,761.32,2077.56,910.91,549.51,2658.09,1166.65,10.00,619.46,623.42,18.18,1608.98,332.45,641.79,1511.84,1155.53,400.66,24.44,41.77,14.31,290.79,286.65,285.22,42025.77
3P Land Hold.,516092,3PLAND,INE105C01023,Finance,Investment Company,34.98,0.00,163.86,185.79,1.63,2.03,0.20,0.22,2.96,185.79,-0.02,2.00,0.20,0.00,0.00,0.01,0.46,0.81,0.08,0.36,43.05,0.00,0.00,74.18,0.65,0.86,1.16,62.96
52 Weeks Enter.,531925,,INE545N01019,Food Products,Packaged Foods,1.50,3.84,-19.16,19.91,0.00,0.01,19.37,2.07,0.00,19.91,17.30,10.00,0.02,0.02,3.62,17.51,0.00,0.01,15.32,15.43,-1.65,3.61,11.45,12.59,0.00,0.00,0.00,5.24
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,332.65,290.55,595.84,1752.40,17.12,47.44,1363.57,833.40,522.12,1752.40,530.17,10.00,1281.23,0.31,336.32,663.61,24.45,43.25,363.01,132.99,14.04,278.98,219.19,14.83,10.35,8.21,2.13,1039.30
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,708.10,5.30,3484.65,3869.06,337.63,699.40,2564.69,258.43,683.22,3869.06,2306.26,2.00,1862.21,13.27,5.17,1403.55,369.30,690.45,1455.59,1423.46,609.13,0.28,0.00,485.67,381.56,380.91,362.38,3262.84
7NR Retail Ltd,540615,,INE413X01035,Retailing,Speciality Retail,4.03,4.66,1.39,46.25,0.73,1.31,45.52,12.35,0.00,46.25,33.17,10.00,0.26,9.30,5.97,26.83,0.61,1.65,9.88,8.99,0.39,1.44,0.00,0.88,0.11,1.26,1.05,11.30
7Seas Enter.,540874,,INE454F01010,Entertainment,Digital Entertainment,74.88,1.39,-2.45,21.75,9.36,7.07,11.90,1.58,0.00,21.75,10.32,10.00,0.12,0.05,0.36,6.28,3.05,3.05,-1.45,-7.74,-6.59,4.42,7.43,6.53,0.01,0.52,1.87,167.15
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,5806.50,73.22,7151.95,12799.68,1114.40,1720.71,11150.08,5544.25,630.65,12799.68,5605.83,2.00,5261.82,3480.63,48.98,4533.33,993.95,1577.03,2620.85,1850.41,981.75,36.66,13.54,371.07,816.98,741.69,1218.66,123044.60
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,21.19,45.84,93.34,283.90,37.15,46.28,219.41,99.22,44.88,283.90,120.19,1.00,43.22,16.32,41.11,46.56,36.22,41.81,28.37,18.05,-0.64,30.11,23.04,40.51,2.24,0.99,4.12,1353.58
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,115.05,3496.03,90.02,9187.45,3550.57,5401.52,5049.11,5310.28,14.73,9187.45,-261.17,10.00,153.90,2392.19,,,,,,,,,,,,,,14041.95
A B M Internatl.,,ABMINTLLTD,INE251C01025,Commercial Services & Supplies,Trading & Distributors,56.30,14.26,3.62,29.47,0.52,3.65,20.33,16.19,6.46,29.47,4.14,10.00,2.62,0.11,10.05,6.48,0.56,3.64,19.17,7.41,11.38,0.00,0.00,28.60,0.64,0.72,1.65,52.97
A B Real Estate,500040,ABREL,INE055A01016,"Paper, Forest & Jute Products",Paper & Paper Products,1450.25,5489.91,3667.73,17184.07,1413.72,3035.38,14572.58,8803.99,0.00,17184.07,5768.59,10.00,726.02,667.17,2501.69,2185.85,3733.85,7889.67,16.58,-33.48,,1336.32,1399.71,,4058.61,4293.29,7255.54,16198.67
