Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return over 3months,Return over 6months,Is SME,Is not SME,Volume 1month average,Volume 1week average,Volume,Low price,High price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,181.73,-8.19,-20.52,0,1,128527,153106,64105,158.00,284.10,348.00,6.60,-1.16,6.53,-5.78,188.30,207.34,188.56,207.59,49.78,-4.95,-5.85,-6.26,-6.59,7.90,33.40,36.57,225210,27.06,21.28,641.26
21st Cent. Mgmt.,526921,21STCENMGM,INE253B01015,Capital Markets,Other Capital Market related Services,39.50,-10.55,-29.53,0,1,4355,7160,1837,36.03,81.45,145.05,2.30,-0.95,0.18,-13.66,43.09,53.03,43.24,53.17,38.80,-1.57,-1.67,-1.84,-1.91,-49.12,24.74,26.38,7889,10.94,3.52,41.48
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1162.40,7.07,11.93,0,1,1576844,765072,1080456,766.05,1273.80,1318.00,177.50,2.12,-0.32,2.82,1140.86,1100.11,1139.98,1099.48,53.95,-2.29,-4.78,-5.08,-5.78,17.48,35.79,30.48,1191044,,,47139.04
3B Blackbio,532067,,INE994E01018,Healthcare Services,Healthcare Service Provider,1690.35,26.61,2.11,0,1,8727,10042,13643,1151.00,2100.00,2350.00,4.81,4.26,3.16,14.41,1515.21,1484.29,1508.06,1482.22,60.27,43.81,40.06,47.71,48.69,1.46,61.74,39.52,7224,57.65,67.68,1450.77
3B Films,544412,,INE0TE101010,Industrial Products,Packaging,21.43,-16.48,-40.06,1,0,37895,29250,48000,21.06,48.50,48.50,21.06,-2.59,-2.59,-19.13,25.50,32.31,25.67,32.42,38.33,-1.44,-1.46,-1.41,-1.40,,,,53377,,,53.09
3C IT Solutions,544190,,INE0R7D01018,IT - Services,IT Enabled Services,24.00,32.74,1.27,1,0,11765,12000,4000,15.00,35.94,52.26,15.00,3.09,2.13,36.36,20.00,24.14,19.83,24.14,66.91,1.62,1.58,1.24,1.14,-1.03,,,10691,,,14.45
3i Infotech,532628,3IINFOLTD,INE748C01038,IT - Software,Computers - Software & Consulting,16.22,-11.12,-22.91,0,1,408966,376737,628432,14.40,26.49,155.88,1.09,4.38,4.71,8.21,16.06,19.80,16.05,19.84,60.48,-0.11,-0.21,-0.28,-0.33,-37.85,-22.45,19.92,654237,29.82,15.35,336.40
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,37635.00,4.32,24.00,0,1,4084,6734,11787,25714.35,38030.00,41000.00,464.10,3.15,5.23,8.05,34660.80,32567.84,34539.41,32516.91,68.85,422.07,234.59,85.15,0.92,36.60,17.13,12.69,6457,8.80,13.48,42414.65
3P Land Hold.,516092,3PLAND,INE105C01023,Finance,Investment Company,35.17,-12.90,-29.31,0,1,4544,5153,2990,30.79,58.79,82.06,2.88,-0.90,1.50,-4.95,36.86,41.44,36.93,41.50,45.33,-0.58,-0.64,-0.70,-0.74,-23.53,20.50,29.92,14199,18.45,8.86,63.31
52 Weeks Enter.,531925,,INE545N01019,Food Products,Packaged Foods,1.27,-9.29,-15.89,0,1,10681,5644,3510,1.16,1.90,315.00,0.19,-5.93,-15.33,0.00,1.34,1.43,1.34,1.44,45.52,0.03,0.04,0.04,0.04,-24.85,-10.98,10.81,11311,-3.25,-37.99,4.43
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,339.10,17.30,-6.74,0,1,205929,41600,33665,287.65,433.70,759.10,90.00,-0.50,-0.63,-8.13,342.58,361.26,342.72,361.48,47.47,-3.56,-3.69,-1.50,-0.98,-10.53,4.77,6.05,194881,13.59,,1059.43
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,724.85,-2.51,-22.07,0,1,202320,374235,232758,575.05,1130.00,3048.00,39.55,2.11,10.92,13.01,697.48,770.64,696.36,771.10,60.77,-5.41,-12.15,-18.93,-22.31,-0.01,53.94,54.36,264680,38.75,23.21,3340.00
7NR Retail Ltd,540615,,INE413X01035,Retailing,Speciality Retail,3.93,-8.60,-19.63,0,1,26748,17164,22405,3.38,9.33,182.78,3.36,-0.76,-0.76,-1.01,3.95,4.79,3.95,4.80,54.89,-0.01,-0.02,-0.06,-0.08,-23.98,-24.69,-6.26,77258,-21.20,,11.01
7Seas Enter.,540874,,INE454F01010,Entertainment,Digital Entertainment,74.99,-10.09,7.05,0,1,8844,5772,1538,65.00,101.00,101.00,4.43,1.34,-2.72,-1.26,78.42,78.27,78.56,78.31,45.94,-1.10,-1.14,-1.22,-1.25,-7.31,66.66,,19954,49.80,,167.39
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,5870.00,19.48,16.70,0,1,407795,205954,159645,4590.05,6299.80,9200.00,203.47,0.94,2.00,16.28,5259.97,5423.61,5235.07,5419.13,73.19,207.42,193.45,123.22,102.17,7.97,22.85,31.96,339961,26.93,20.37,124390.22
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,19.94,-1.14,7.38,0,1,992547,1729605,500041,6.17,22.90,22.90,0.42,-1.19,4.18,8.37,18.95,16.95,18.91,16.92,56.92,0.35,0.32,0.14,0.09,142.87,159.58,103.60,305661,,,1273.75
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,114.29,-14.98,-13.37,0,1,4488948,801926,615882,100.86,176.10,176.10,100.86,-0.58,-1.81,-5.15,118.14,135.14,118.30,135.35,51.03,-1.82,-2.23,-3.32,-3.69,,,,2494204,,,13949.20
A B M Internatl.,,ABMINTLLTD,INE251C01025,Commercial Services & Supplies,Trading & Distributors,52.88,12.39,5.55,0,1,2198,6316,17664,34.00,78.21,213.60,12.00,19.02,34.90,35.90,41.50,47.67,41.04,47.62,77.47,1.25,0.22,-0.45,-0.88,-13.28,4.27,4.34,1382,19.84,,49.75
A B Real Estate,500040,ABREL,INE055A01016,"Paper, Forest & Jute Products",Paper & Paper Products,1462.30,-16.24,-17.62,0,1,338009,540047,253132,1185.05,2537.90,3141.95,51.37,2.50,19.98,-6.82,1505.12,1780.80,1506.87,1784.00,54.85,-60.84,-77.34,-89.95,-97.22,-30.49,31.07,26.06,219895,23.70,22.17,16333.26
A F Enterprises,538351,,INE663P01015,Commercial Services & Supplies,Trading & Distributors,2.33,-12.41,3.56,0,1,40314,21525,8671,1.89,9.48,551.67,0.65,0.00,5.91,-2.10,2.38,4.81,2.38,4.84,51.67,-0.01,-0.02,-0.02,-0.03,-74.25,-45.16,-31.08,150179,-3.03,-23.24,7.79
A G Universal,,AGUL,INE0O6N01012,Industrial Products,Iron & Steel Products,77.00,11.68,57.14,1,0,16632,16000,4000,37.30,77.00,119.95,32.50,4.76,4.05,20.97,67.97,61.39,67.60,61.23,62.24,2.32,2.06,2.02,1.95,55.56,,,13442,,,42.23
A-1,542012,,INE911Z01025,Chemicals & Petrochemicals,Trading - Chemicals,27.00,-40.67,63.54,0,1,1177847,629926,2091777,10.25,70.42,70.42,1.04,-5.00,-18.50,-27.52,38.20,30.52,38.66,30.55,31.74,-3.59,-3.40,-3.22,-3.13,150.70,50.00,77.56,157045,54.24,,1242.00
A.K.Capital Serv,530499,,INE701G01012,Finance,Non Banking Financial Company (NBFC),1634.05,17.46,47.53,0,1,876,2022,4196,896.30,1718.80,1718.80,15.84,4.96,11.14,18.15,1428.34,1271.37,1419.94,1267.72,73.40,36.21,25.27,16.67,11.78,56.62,54.68,37.29,1638,26.18,23.91,1078.47
A2Z Infra Engg.,533292,A2ZINFRA,INE619I01012,Construction,Civil Construction,14.57,-16.31,-25.01,0,1,255234,198394,211041,12.32,23.25,500.00,2.82,2.46,0.07,0.07,14.99,16.71,15.00,16.73,50.77,-0.23,-0.28,-0.32,-0.34,-24.82,20.15,26.77,297703,3.31,-2.57,256.61
AA Plus Trade,543319,,INE0C5901022,Commercial Services & Supplies,Trading & Distributors,1.36,-10.53,54.55,1,0,80000,80000,80000,0.68,1.59,2.68,0.53,-4.90,-4.90,-4.90,1.16,1.31,1.15,1.31,59.39,0.14,0.15,0.12,0.11,-6.21,24.19,,267170,,,33.08
AAA Technologies,543671,AAATECH,INE0D0U01013,Commercial Services & Supplies,Consulting Services,101.17,12.70,20.41,0,1,66537,13280,8880,66.00,136.67,160.85,28.00,-0.08,-0.96,-2.73,100.25,93.91,100.21,93.84,48.49,-0.25,-0.20,0.47,0.65,14.60,16.34,29.17,85761,,,129.77
