Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,Down from 52w high,Up from 52w low,Mkt Cap To Debt Cap,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Market cap to quarterly profit,Market Capitalization
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,191.40,0.73,47.10,6.29,5.77,0.45,18.87,-14.34,-6.92,455.06,0.73,5.77,7.52,0.07,2.61,476.88,2.67,0.40,1.52,7.07,347.49,-20.84,0.07,32.63,21.14,1.14,21.25,20.04,15.57,49.19,21.25,44.64,675.40
21st Cent. Mgmt.,526921,21STCENMGM,INE253B01015,Capital Markets,Other Capital Market related Services,39.01,2.77,-59.65,-2.01,,,-273.55,28.90,53.26,47.47,-2.77,,-2.01,0.48,0.00,41.06,-1.32,0.00,1.10,0.00,,1.86,0.06,52.11,8.27,0.66,7.95,19.42,,38.50,7.96,-7.30,40.97
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1135.25,11.48,-31.21,21.94,2.54,1.68,44.57,3.74,7.60,9348.81,11.48,2.54,23.08,-0.13,13.56,5440.08,-9.47,1.57,2.47,23.23,645.66,-29.58,0.02,10.88,48.20,-6.55,-19.09,14.24,194.92,44.09,-19.10,140.67,46038.00
3B Blackbio,532067,,INE994E01018,Healthcare Services,Healthcare Service Provider,1650.05,10.98,48.84,17.56,416.89,1.77,106.41,49.20,48.53,298.22,10.98,416.89,17.91,0.26,0.01,154.50,11.68,0.00,1.01,7.19,2098.42,4.83,0.05,21.43,43.36,2.51,32.73,21.89,116.58,159.59,32.66,65.17,1416.17
3B Films,544412,,INE0TE101010,Industrial Products,Packaging,22.00,0.84,21.23,12.79,1.29,0.32,65.02,-146.57,-33.90,46.84,0.84,1.29,23.27,-1.46,19.79,122.94,1.92,2.18,4.36,0.00,11.07,-201.61,0.01,54.64,4.46,0.67,3.66,8.16,54.01,16.94,3.66,-57.37,54.50
3C IT Solutions,544190,,INE0R7D01018,IT - Services,IT Enabled Services,25.10,0.44,12.15,15.23,1.93,,35.81,27.27,62.75,12.85,0.44,1.93,47.79,0.08,-7.50,13.26,10.93,0.04,1.24,0.00,12.76,1.92,0.05,30.16,67.33,3.87,-5.05,14.70,70.71,20.42,-5.07,107.93,15.11
3i Infotech,532628,3IINFOLTD,INE748C01038,IT - Software,Computers - Software & Consulting,15.97,0.46,12.72,3.56,13.34,0.12,9.45,141.06,2.54,326.58,0.46,13.34,4.79,0.50,1.37,291.39,6.96,0.81,2.00,0.00,24.82,-61.85,0.17,39.71,10.90,0.59,11.72,-0.76,4.76,3.25,11.73,17.97,331.25
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,37300.00,8.85,98.96,44.36,102.46,3.52,24.56,7.68,5.90,1610.44,8.85,102.46,47.28,0.05,0.22,1595.61,20.72,0.40,1.70,126.65,6365.89,0.68,0.03,1.92,45.06,8.13,118.70,33.78,1981.46,1032.43,118.38,219.70,42037.10
3P Land Hold.,516092,3PLAND,INE105C01023,Finance,Investment Company,34.98,13.78,143.10,21.94,,1.35,-0.44,-59.60,-45.51,167.46,13.78,,22.41,2.60,0.00,1.61,0.37,0.02,0.92,0.00,64.97,-4.42,0.00,40.50,13.61,20.81,53.82,2.77,11.23,-0.01,53.81,157.40,62.96
52 Weeks Enter.,531925,,INE545N01019,Food Products,Packaged Foods,1.50,,-120.81,-69.69,,,,85.71,,15.72,,,-69.69,0.01,-32.00,17.30,-0.22,0.24,1.26,0.00,,-73.09,0.00,21.05,29.31,0.33,-43.63,-0.10,,4.96,-43.67,-524.00,5.24
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,332.65,3.40,-419.06,0.50,3.03,0.36,173.59,30.30,2.73,627.08,3.40,3.03,0.56,0.95,4.27,547.29,-0.29,1.30,3.07,0.00,319.10,50.35,1.43,23.30,15.64,-4.03,10.59,12.86,39.86,169.93,10.61,84.50,1039.30
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,708.10,35.67,-159.70,-17.01,-85.27,,2521.05,29.02,30.77,3493.87,35.67,-85.27,-12.40,0.79,-0.11,2643.89,-0.60,0.20,1.07,-16.68,,37.90,0.49,37.34,23.14,-8.03,-22.86,2.02,,500.27,-22.85,-165.21,3262.84
7NR Retail Ltd,540615,,INE413X01035,Retailing,Speciality Retail,4.03,0.44,-3.59,7.85,7.50,-0.26,128.82,527.27,8.69,29.40,0.44,7.50,6.98,-1.61,14.12,33.90,-18.33,0.16,1.44,0.00,12.85,-37.26,0.03,56.81,19.23,-0.19,7.40,0.23,4.94,5.92,3.70,24.04,11.30
7Seas Enter.,540874,,INE454F01010,Entertainment,Digital Entertainment,74.88,8.92,-28.02,58.68,,0.24,55.07,1.85,2.04,19.87,8.92,,79.44,-0.05,0.84,20.07,-40.07,0.07,0.85,0.00,36.10,-0.65,0.00,25.86,15.20,-5.29,-53.52,15.84,669.35,4.63,-53.57,303.91,167.15
A B B,500002,ABB,INE117A01022,Electrical Equipment,Heavy Electrical Equipment,5812.65,9.47,128.28,46.88,120.85,1.11,43.09,16.29,4.26,7194.33,9.47,120.85,49.63,0.07,0.04,6819.95,14.64,0.10,1.65,50.00,1530.16,3.90,0.04,7.73,26.64,11.21,92.48,30.76,1199.00,264.55,92.49,301.25,123174.92
A B Infrabuild,544281,ABINFRA,INE00YB01025,Construction,Civil Construction,21.01,5.49,-86.76,33.55,4.11,0.31,49.13,-58.40,-38.41,157.22,5.49,4.11,38.59,-0.01,2.84,157.34,-9.70,0.58,1.84,1.65,5.35,-4.27,0.02,8.25,240.52,-296.59,-56.89,20.35,583.02,1.88,-56.89,636.06,1342.08
A B Lifestyle,544403,ABLBL,INE14LE01019,Retailing,Speciality Retail,115.05,1.72,,12.56,1.63,,-3.20,194.41,14.98,1310.31,1.72,1.63,29.08,,58.66,3306.54,,2.68,,0.00,,-24.62,,34.67,14.07,,12.27,0.00,850.33,-2.14,12.27,139.71,14041.95
A B M Internatl.,,ABMINTLLTD,INE251C01025,Commercial Services & Supplies,Trading & Distributors,56.30,0.90,-7.03,-14.20,-19.91,,7.00,-355.56,-26.85,13.03,0.90,-19.91,-14.11,-0.20,-10.49,4.66,-28.37,1.59,2.81,0.00,,-24.69,0.11,28.01,65.59,-1.51,-43.03,-22.71,,4.40,-43.07,-129.20,52.97
A B Real Estate,500040,ABREL,INE055A01016,"Paper, Forest & Jute Products",Paper & Paper Products,1450.25,22.52,-29.99,-111.50,-4.57,,801.94,-322.62,-17.04,3779.42,22.52,-4.57,-82.91,-0.24,-34.87,7226.86,-6.98,1.45,3.51,-13.85,,-27.71,0.04,42.86,22.38,-7.88,-12.52,3.70,,516.44,-12.52,-197.76,16198.67
A F Enterprises,538351,,INE663P01015,Commercial Services & Supplies,Trading & Distributors,2.30,0.60,-0.93,29.76,-4.85,,279.58,72.00,1511.43,37.69,0.60,-4.85,-17.95,,34.94,41.10,-20.98,0.17,4.32,0.00,,-71.95,0.09,75.74,21.69,,-256.07,2.17,,10.70,-256.67,-55.00,7.70
A G Universal,,AGUL,INE0O6N01012,Industrial Products,Iron & Steel Products,77.00,0.67,-6.13,12.86,1.78,4.08,23.14,-3.92,2.59,19.27,0.67,1.78,19.41,-0.40,15.82,25.12,-19.14,1.11,2.62,0.00,63.87,-50.77,0.00,0.00,106.43,-4.63,-11.67,9.85,92.48,26.65,-11.63,86.18,42.23
