Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Industry PE,Price to Quarterly Earning,Book value,Piotroski score,Asset Turnover Ratio,Industry PBV,FII holding,Change in FII holding,DII holding,Change in DII holding,Change in DII holding 3Years,Change in FII holding 3Years,Average Working Capital Days 3years,Market Capitalization 5years back,Market Capitalization 10years back,Market Capitalization 3years back,Historical PE 5Years,Historical PE 10Years,Historical PE 3Years,Return on assets 3years,Return on assets 5years,OPM 10Year,OPM 5Year,Return on equity 5years growth,Average return on equity 10Years,Average return on capital employed 10Years,Average return on capital employed 7Years,Average return on capital employed 5Years,Average return on capital employed 3Years,Book value 10years back,Book value 5years back,Book value 3years back,Average return on equity 5Years,Average return on equity 3Years,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,191.45,675.58,10.38,1.50,9.83,0.36,16.34,45.04,19.06,10.60,128.96,3.00,1.40,2.39,0.26,0.00,0.07,-0.10,-0.06,-0.47,39.46,90.16,120.38,260.59,10.52,9.97,11.67,9.42,8.12,13.10,12.80,3.72,15.25,18.72,19.24,18.95,20.04,24.75,60.78,71.27,15.53,16.53,100.02,21.70,10.35,17.75,38301.00
21st Cent. Mgmt.,526921,21STCENMGM,INE253B01015,Capital Markets,Other Capital Market related Services,39.01,40.97,,0.85,21.91,0.00,23.67,64.43,13.38,,45.21,5.00,2.00,2.89,0.00,0.00,0.00,0.00,-0.15,-0.35,198.15,11.34,43.58,31.19,1.82,2.42,2.00,13.32,21.70,,17.54,17.63,2.39,5.31,5.75,26.40,19.42,45.38,22.33,29.03,28.36,23.06,50.73,78.43,68.93,86.98,8266.00
360 ONE,542772,360ONE,INE466L01038,Capital Markets,Stockbroking & Allied,1131.50,45885.93,39.01,4.96,6.20,1.47,20.57,6.25,21.00,36.01,230.68,5.00,0.21,2.22,65.51,-0.36,10.82,0.14,8.64,4.35,-59.02,8770.58,,14803.32,32.55,34.09,35.51,6.11,5.53,,60.41,24.63,,11.95,11.95,13.05,14.24,,80.43,85.22,20.01,21.90,96.13,14.47,6.11,24.47,78007.00
3B Blackbio,532067,,INE994E01018,Healthcare Services,Healthcare Service Provider,1650.05,1416.17,24.70,4.72,17.53,0.00,19.40,41.28,35.77,16.69,347.47,8.00,0.35,5.89,2.57,-0.07,1.87,0.05,1.87,0.46,208.60,54.47,5.29,256.21,15.66,16.32,24.27,14.71,31.27,50.15,55.44,-7.18,28.81,35.62,44.74,50.86,21.89,16.26,175.88,203.81,29.55,16.84,259.88,20.95,13.89,15.42,10709.00
3B Films,544412,,INE0TE101010,Industrial Products,Packaging,22.00,54.50,50.01,1.08,3.28,1.98,17.09,69.97,18.57,,20.34,6.00,0.55,1.88,0.00,0.00,0.00,-1.38,,,63.73,,,,15.07,15.07,15.07,2.55,1.51,,15.35,23.30,,7.26,7.26,7.11,8.16,,,,8.91,13.73,,9.82,3.68,20.40,1678.00
3C IT Solutions,544190,,INE0R7D01018,IT - Services,IT Enabled Services,25.10,15.11,60.44,1.17,-0.38,0.04,-0.71,51.67,26.90,51.61,21.35,3.00,2.31,3.10,0.00,0.00,0.00,0.00,,,83.00,,,,36.86,36.86,36.86,1.25,,,4.73,,,18.36,18.36,18.36,14.70,,,,16.17,7.51,,12.48,0.53,2.88,716.00
3i Infotech,532628,3IINFOLTD,INE748C01038,IT - Software,Computers - Software & Consulting,15.97,331.25,4.71,1.01,4.06,0.11,8.28,0.00,24.47,4.56,15.75,7.00,1.19,3.58,0.32,-0.03,14.26,-2.70,3.46,-0.27,-2.21,243.04,405.85,996.94,21.22,9.59,19.02,-2.04,-1.62,-4.95,-3.72,-15.21,,3.53,1.53,-1.34,-0.76,1.42,3.81,34.27,-2.83,-3.98,14.19,-9.81,-10.49,-18.19,247800.00
3M India,523395,3MINDIA,INE470A01017,Diversified,Diversified,37289.95,42025.77,75.84,26.11,15.20,0.06,23.85,75.00,22.55,55.42,1429.58,4.00,1.42,1.56,3.50,0.07,8.39,0.27,1.49,-0.90,30.08,21209.87,8939.19,22189.21,73.27,72.85,68.01,15.87,12.30,15.54,15.16,16.46,17.83,27.27,24.47,25.17,33.78,877.12,1972.03,2209.29,17.54,23.55,1905.81,37.86,18.92,28.47,34539.00
3P Land Hold.,516092,3PLAND,INE105C01023,Finance,Investment Company,35.20,63.36,29.75,0.38,1.61,0.00,1.74,73.30,23.65,39.57,93.03,4.00,0.03,0.85,0.00,0.00,0.00,0.00,0.00,0.00,-17.58,6.39,22.43,26.10,32.14,33.20,34.25,1.99,1.52,54.86,66.05,-21.06,1.91,3.76,2.82,2.26,2.77,2.71,25.90,37.08,1.78,2.03,54.84,2.94,2.11,2.20,11163.00
52 Weeks Enter.,531925,,INE545N01019,Food Products,Packaged Foods,1.50,5.24,,0.33,-0.60,0.24,-0.76,9.43,55.09,,4.51,1.00,0.00,4.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,469.14,9.94,35.30,36.24,33.00,-0.10,-7.44,,,9.80,-4.76,-3.01,-6.32,-6.88,-0.10,4.85,5.09,4.56,-11.18,-0.13,4.56,0.87,0.85,1.07,8513.00
